Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Unit_Price,Profit_Margin,Revenue,Discount_Band,Price_Segment,Market_Benchmark_Price_x,Market_Benchmark_Price_y,Market_Benchmark_Price,Price_vs_Market
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,4.809,-73.33333333333334,9.618,High (41%+),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,41.4,12.5,124.2,Low (1-20%),Premium,14.136,14.136,14.136,Overpriced
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,1.632,33.75,3.264,Low (1-20%),Low,9.303999999999998,9.303999999999998,9.303999999999998,Underpriced
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,14.384,11.249999999999998,86.304,Low (1-20%),Premium,4.24,4.24,4.24,Overpriced
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,1.143,-83.33333333333334,6.858,High (41%+),Low,5.390000000000001,5.390000000000001,5.390000000000001,Underpriced
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,7.88,22.5,15.76,Low (1-20%),Premium,4.24,4.24,4.24,Overpriced
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,9.824,33.75,29.472,Low (1-20%),Mid,6.48,6.48,6.48,Overpriced
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,156.792,11.249999999999998,1097.544,Low (1-20%),Premium,69.99,69.99,69.99,Overpriced
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,38.184,-77.5,190.92,High (41%+),Premium,14.136,14.136,14.136,Overpriced
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,12.592,31.25,113.328,Low (1-20%),Mid,9.303999999999998,9.303999999999998,9.303999999999998,Overpriced
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,177.4664,-8.823529411764707,532.3992,Medium (21-40%),Premium,102.833,102.833,102.833,Overpriced
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,70.68599999999999,-7.142857142857144,212.058,Medium (21-40%),Low,105.623,105.623,105.623,Underpriced
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,92.792,11.25,371.168,Low (1-20%),Mid,69.99,69.99,69.99,Overpriced
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,36.792,11.249999999999998,147.168,Low (1-20%),Low,69.99,69.99,69.99,Underpriced
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,38.94,5.0,77.88,No Discount,Mid,37.208,37.208,37.208,Fair
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,47.808,10.0,95.616,Low (1-20%),Mid,37.208,37.208,37.208,Overpriced
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,22.99,43.00000000000001,45.98,No Discount,Mid,29.99,29.99,29.99,Fair
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,8.73,47.0,17.46,No Discount,Mid,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,52.99,4.0,211.96,No Discount,Mid,37.208,37.208,37.208,Overpriced
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,15.0,11.0,45.0,No Discount,Low,29.99,29.99,29.99,Underpriced
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,10.9,28.0,21.8,No Discount,Low,69.99,69.99,69.99,Underpriced
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,6.37,47.0,38.22,No Discount,Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,12.53,47.0,75.18,No Discount,Premium,3.984,3.984,3.984,Overpriced
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,3.08,48.0,6.16,No Discount,Low,14.136,14.136,14.136,Underpriced
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,89.99,19.0,89.99,No Discount,Mid,105.623,105.623,105.623,Fair
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,2.18,41.0,15.26,No Discount,Mid,2.84,2.84,2.84,Fair
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,205.99,29.0,1029.95,No Discount,Premium,69.99,69.99,69.99,Overpriced
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,34.76,25.0,208.56,No Discount,Mid,37.208,37.208,37.208,Fair
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,6.48,48.0,32.4,No Discount,Mid,6.48,6.48,6.48,Fair
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,63.882000000000005,2.222222222222222,319.41,Low (1-20%),Low,105.623,105.623,105.623,Underpriced
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,7.28,48.0,14.56,No Discount,Mid,6.48,6.48,6.48,Fair
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,15.0,11.0,30.0,No Discount,Low,29.99,29.99,29.99,Underpriced
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,12.12,33.75,48.48,Low (1-20%),Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,1.68,50.0,1.68,No Discount,Low,4.24,4.24,4.24,Underpriced
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,6.99,44.0,13.98,No Discount,Low,29.99,29.99,29.99,Underpriced
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,4.304,36.25,25.824,Low (1-20%),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,48.91,47.0,146.73,No Discount,Premium,6.48,6.48,6.48,Overpriced
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,19.94,28.0,79.76,No Discount,Mid,14.136,14.136,14.136,Overpriced
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,42.623000000000005,-7.142857142857142,213.115,Medium (21-40%),Low,105.623,105.623,105.623,Underpriced
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,139.128,10.000000000000002,1113.024,Low (1-20%),Premium,4.24,4.24,4.24,Overpriced
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,41.992,37.5,167.968,Low (1-20%),Mid,69.99,69.99,69.99,Underpriced
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,37.94,47.00000000000001,75.88,No Discount,Premium,6.48,6.48,6.48,Overpriced
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,4.616,37.50000000000001,4.616,Low (1-20%),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,6.3500000000000005,46.0,19.05,No Discount,Mid,6.48,6.48,6.48,Fair
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,103.992,-13.749999999999998,831.936,Low (1-20%),Mid,105.623,105.623,105.623,Fair
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,48.52,1.25,97.04,Low (1-20%),Premium,14.136,14.136,14.136,Overpriced
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,72.784,-25.0,72.784,Low (1-20%),Premium,37.208,37.208,37.208,Overpriced
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,0.416,-154.99999999999997,1.248,High (41%+),Low,5.390000000000001,5.390000000000001,5.390000000000001,Underpriced
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,3.236,-60.0,9.708,High (41%+),Low,14.136,14.136,14.136,Underpriced
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,9.08,10.000000000000002,27.24,Low (1-20%),Low,37.208,37.208,37.208,Underpriced
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,3.86,-75.0,19.3,High (41%+),Low,14.136,14.136,14.136,Underpriced
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,208.16,27.0,208.16,No Discount,Premium,30.448,30.448,30.448,Overpriced
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,5.579999999999999,48.00000000000001,16.74,No Discount,Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,2.98,28.0,14.9,No Discount,Mid,4.24,4.24,4.24,Underpriced
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,21.39,29.0,21.39,No Discount,Mid,37.208,37.208,37.208,Underpriced
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,28.712,31.25,200.984,Low (1-20%),Premium,9.303999999999998,9.303999999999998,9.303999999999998,Overpriced
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,76.792,-21.25,230.376,Low (1-20%),Premium,37.208,37.208,37.208,Overpriced
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156,150.98,11.000000000000002,301.96,No Discount,Mid,105.623,105.623,105.623,Overpriced
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966,19.99,34.0,19.99,No Discount,Low,29.99,29.99,29.99,Underpriced
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,3.08,48.0,6.16,No Discount,Low,3.984,3.984,3.984,Fair
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,22.624,8.75,158.368,Low (1-20%),Mid,37.208,37.208,37.208,Underpriced
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633,6.7,32.99999999999999,20.1,No Discount,Mid,4.24,4.24,4.24,Overpriced
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782,36.792,11.249999999999998,73.584,Low (1-20%),Low,69.99,69.99,69.99,Underpriced
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,6.48,47.99999999999999,6.48,No Discount,Mid,6.48,6.48,6.48,Fair
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,6.48,47.99999999999999,12.96,No Discount,Mid,6.48,6.48,6.48,Fair
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,17.78,30.999999999999996,53.34,No Discount,Mid,14.136,14.136,14.136,Overpriced
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,16.48,49.00000000000001,32.96,No Discount,Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788,5.682,-66.66666666666666,5.682,High (41%+),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,13.79,42.0,96.53,No Discount,Mid,14.136,14.136,14.136,Fair
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,17.104,35.0,51.312,Low (1-20%),Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,12.98,29.000000000000004,77.88,No Discount,Low,30.448,30.448,30.448,Underpriced
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,9.232,35.0,64.624,Low (1-20%),Mid,6.48,6.48,6.48,Overpriced
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,31.992,-11.25,95.976,Low (1-20%),Mid,29.99,29.99,29.99,Fair
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,0.596,-170.0,1.788,High (41%+),Low,5.390000000000001,5.390000000000001,5.390000000000001,Underpriced
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,5.98,49.0,23.92,No Discount,Mid,6.48,6.48,6.48,Fair
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,39.816,-11.250000000000002,238.896,Low (1-20%),Mid,29.99,29.99,29.99,Overpriced
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,34.12,-3.75,102.36,Low (1-20%),Premium,14.136,14.136,14.136,Overpriced
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,12.294,-70.0,36.882,High (41%+),Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,9.264,23.750000000000004,74.112,Low (1-20%),Low,29.99,29.99,29.99,Underpriced
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994,27.992,7.5,27.992,Low (1-20%),Low,69.99,69.99,69.99,Underpriced
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,3.304,32.50000000000001,3.304,Low (1-20%),Mid,4.24,4.24,4.24,Fair
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,67.99199999999999,20.000000000000004,339.96,Low (1-20%),Premium,29.99,29.99,29.99,Overpriced
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096,20.98,26.0,41.96,No Discount,Mid,14.136,14.136,14.136,Overpriced
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,37.98,30.000000000000004,75.96,No Discount,Premium,4.24,4.24,4.24,Overpriced
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,4.54,49.00000000000001,27.24,No Discount,Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2.864,36.25000000000001,40.096,Low (1-20%),Mid,2.84,2.84,2.84,Fair
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,2.36,35.0,4.72,Low (1-20%),Low,9.303999999999998,9.303999999999998,9.303999999999998,Underpriced
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,7.992,31.25,23.976,Low (1-20%),Mid,6.48,6.48,6.48,Fair
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,21.744,33.75,130.464,Low (1-20%),Premium,9.303999999999998,9.303999999999998,9.303999999999998,Overpriced
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.3813,262.51,21.000000000000004,787.53,No Discount,Premium,145.49,145.49,145.49,Overpriced
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,157.794,-73.33333333333333,157.794,High (41%+),Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456,15.68,39.0,47.04,No Discount,Mid,14.136,14.136,14.136,Fair
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878,7.71,45.0,30.84,No Discount,Mid,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368,37.76,28.0,226.56,No Discount,Mid,37.208,37.208,37.208,Fair
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,12.78,45.0,115.02,No Discount,Mid,9.303999999999998,9.303999999999998,9.303999999999998,Overpriced
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.0,19.7316,9.72,29.0,68.04,No Discount,Low,69.99,69.99,69.99,Underpriced
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,200.186,-1.4285714285714286,600.558,Medium (21-40%),Premium,105.623,105.623,105.623,Overpriced
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682,102.95,-66.0,617.7,High (41%+),Low,145.49,145.49,145.49,Underpriced
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,1.194,-76.66666666666667,2.388,High (41%+),Low,5.390000000000001,5.390000000000001,5.390000000000001,Underpriced
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499,34.856,12.5,243.992,Low (1-20%),Mid,37.208,37.208,37.208,Fair
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602,40.712,-11.249999999999998,81.424,Low (1-20%),Low,105.623,105.623,105.623,Underpriced
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416,79.52,10.999999999999998,238.56,No Discount,Premium,14.136,14.136,14.136,Overpriced
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994,11.994,-20.0,59.97,Medium (21-40%),Low,69.99,69.99,69.99,Underpriced
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364,39.152,37.5,78.304,Low (1-20%),Premium,6.48,6.48,6.48,Overpriced
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,2.384,32.5,21.456,Low (1-20%),Mid,2.84,2.84,2.84,Fair
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192,6.68,48.0,20.04,No Discount,Mid,6.48,6.48,6.48,Fair
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0.0,16.6568,35.44,47.0,35.44,No Discount,Premium,6.48,6.48,6.48,Overpriced
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0.0,3.456,2.88,30.0,11.52,No Discount,Low,4.24,4.24,4.24,Underpriced
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,2.01,49.00000000000001,4.02,No Discount,Mid,2.84,2.84,2.84,Underpriced
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616,25.392,35.0,76.176,Low (1-20%),Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,10.98,28.000000000000004,65.88,No Discount,Mid,8.475000000000001,8.475000000000001,8.475000000000001,Overpriced
